"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","control","NONE",1.1296699965102,0.0122554488433525,3,1.09133329169036,1.16935340535496,"D"
"10","control","WHEA",1.53223327393214,0.0166227363413809,3,1.480235101971,1.58605805430413,"C"
"4","control","CLOV",1.85733269481236,0.0201496418393663,3,1.79430188449321,1.92257767159023,"A"
"8","control","WHCL",1.67721466716195,0.0181955957193009,3,1.62029637791542,1.73613240027252,"B"
"2","control","SHMX",1.86443017661969,0.0202266402773837,3,1.80115850475173,1.92992447600788,"A"
"9","drought","NONE",1.13713922279329,0.0123364802249901,3,1.09854904083045,1.17708501300717,"D"
"5","drought","WHEA",1.52738028441599,0.0165700877228143,3,1.47554680446858,1.58103458742054,"C"
"1","drought","CLOV",1.87740160589,0.0203673633985948,3,1.81368973302833,1.94335156979316,"A"
"7","drought","WHCL",1.66466208398241,0.0180594165329154,3,1.60816978168566,1.72313886593741,"B"
"3","drought","SHMX",1.83734547637844,0.0199328065389738,3,1.77499295626408,1.90188833575634,"A"
